Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
UUUU,Energy Fuels Inc Ordinary Shares (Canada),$4.43,0.30,7.264%,931367661.00,Canada,,13294888,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
VENU,Venu Holding Corporation Common Stock,$8.27,-0.10,-1.195%,310092325.00,United States,2024,22509,Consumer Discretionary,Services-Misc. Amusement & Recreation
VFL,abrdn National Municipal Income Fund Common Stock,$9.64,0.015,0.156%,0.00,United States,1993,56173,Finance,Finance/Investors Services
VGZ,Vista Gold Corp Common Stock,$0.8099,0.0119,1.491%,100226754.00,United States,1986,1172047,Basic Materials,Precious Metals
VKI,Invesco Advantage Municipal Income Trust II Common Shares of Beneficial Interest (DE),$8.19,-0.12,-1.444%,363685304.00,United States,1993,75594,Finance,Finance Companies
VNRX,VolitionRX Limited Common Stock,$0.50,0.013,2.669%,48271872.00,Singapore,2015,359859,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
VTAK,Catheter Precision Inc. Common Stock,$0.335,0.012,3.715%,3104992.00,,2018,13882,Health Care,Medical/Dental Instruments
VZLA,Vizsla Silver Corp. Common Shares,$2.27,0.06,2.715%,650620066.00,Canada,2024,3074125,Basic Materials,Precious Metals
WRN,Western Copper and Gold Corporation Common Stock,$1.31,0.11,9.167%,262000692.00,Canada,2011,1399161,Basic Materials,Metal Mining
WWR,Westwater Resources Inc. Common Stock,$0.60,0.0587,10.844%,42803705.00,United States,,4876230,Basic Materials,Metal Mining
WYY,WidePoint Corporation Common Stock,$2.63,-0.23,-8.042%,25730844.00,United States,,51295,Technology,EDP Services
XPL,Solitario Resources Corp. Common Stock,$0.6501,0.0221,3.519%,53073136.00,United States,,193887,Basic Materials,Precious Metals
XTNT,Xtant Medical Holdings Inc. Common Stock,$0.395,0.005,1.282%,54931826.00,United States,,410398,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
YCBD,cbdMD Inc. Common Stock,$0.2156,-0.0084,-3.75%,1350267.00,United States,2017,302258,Consumer Discretionary,Package Goods/Cosmetics
ZDGE,Zedge Inc. Class B Common Stock ,$2.11,0.02,0.957%,29261214.00,,2016,39179,Technology,Computer Software: Prepackaged Software
ZONE,CleanCore Solutions Inc. Class B Common Stock,$1.075,0.015,1.415%,8997480.00,,2024,11075,Industrials,Industrial Machinery/Components
