Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
GDS,GDS Holdings Limited ADS,$19.82,-0.81,-3.926%,108705705,China,2016,5107906,Technology,Computer Software: Programming Data Processing
GGAL,Grupo Financiero Galicia S.A. American Depositary Shares,$60.04,0.51,0.857%,66253945,Argentina,,1139502,Finance,Commercial Banks
GLPG,Galapagos NV American Depositary Shares,$24.50,0.62,2.596%,19735389,Belgium,2015,265238,Health Care,Biotechnology: Pharmaceutical Preparations
GMAB,Genmab A/S ADS,$19.55,0.04,0.205%,41929670,Denmark,2019,940320,Health Care,Biotechnology: Pharmaceutical Preparations
GNFT,GENFIT S.A. American Depositary Shares,$3.51,-0.175,-4.749%,954353,France,2019,8066,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
GNTA,Genenta Science S.p.A. American Depositary Shares,$3.8789,0.0505,1.319%,8185770,Italy,2021,4974,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
GPCR,Structure Therapeutics Inc. American Depositary Shares,$18.53,-0.37,-1.958%,48704090,United States,2023,663322,Health Care,Biotechnology: Pharmaceutical Preparations
GRFS,Grifols S.A. American Depositary Shares,$7.03,0.04,0.572%,121994541,Spain,,434243,Health Care,Biotechnology: Pharmaceutical Preparations
GRVY,GRAVITY Co. Ltd. American Depository Shares,$59.72,-1.99,-3.225%,3304151,South Korea,2005,21062,Consumer Discretionary,Business Services
HCM,HUTCHMED (China) Limited American Depositary Shares,$13.74,-0.64,-4.451%,31017100,Hong Kong,2016,51805,Health Care,Biotechnology: Pharmaceutical Preparations
HDL,SUPER HI INTERNATIONAL HOLDING LTD. American Depositary Shares,$19.3468,-0.1032,-0.531%,2395800,Singapore,2024,798,Consumer Discretionary,Restaurants
HEPS,D-Market Electronic Services & Trading American Depositary Shares,$2.81,0.01,0.357%,65251000,Turkey,2021,312836,Consumer Discretionary,Catalog/Specialty Distribution
HIMX,Himax Technologies Inc. American Depositary Shares,$6.45,-0.23,-3.443%,106079279,Taiwan,2006,944641,Technology,Semiconductors
HPH,Highest Performances Holdings Inc. American Depository Shares,$5.36,1.04,24.074%,308442,China,2019,30701,Finance,Investment Managers
HSAI,Hesai Group American Depositary Share each ADS represents one Class B ordinary share,$11.015,-0.735,-6.255%,10125118,China,2023,8808117,Industrials,Industrial Machinery/Components
HTHT,H World Group Limited American Depositary Shares,$35.00,0.09,0.258%,154812294,China,2010,4230236,Consumer Discretionary,Hotels/Resorts
HUIZ,Huize Holding Limited American Depositary Shares,$1.80,-0.10,-5.263%,6201995,China,2020,10128,Finance,Specialty Insurers
ICG,Intchains Group Limited American Depositary Shares,$1.68,-0.15,-8.197%,1114516,China,2023,11542,Technology,Semiconductors
IMAB,I-MAB American Depositary Shares,$0.8413,-0.0659,-7.264%,70627300,China,2020,137816,Health Care,Biotechnology: Pharmaceutical Preparations
IMCR,Immunocore Holdings plc American Depositary Shares,$27.87,0.56,2.051%,34488434,United Kingdom,2021,735485,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
IMMP,Immutep Limited American Depositary Shares,$1.45,-0.06,-3.974%,20303700,Australia,,114935,Health Care,Biotechnology: Pharmaceutical Preparations
IMOS,ChipMOS TECHNOLOGIES INC. American Depositary Shares,$15.74,-0.33,-2.054%,3727383,Taiwan,,29839,Technology,Semiconductors
IMRN,Immuron Limited American Depositary Shares,$1.71,-0.02,-1.156%,1888304,Australia,2017,4390,Health Care,Biotechnology: Pharmaceutical Preparations
IONR,ioneer Ltd American Depositary Shares,$3.95,0.23,6.183%,2958465,Australia,,8879,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
IPHA,Innate Pharma S.A. ADS,$1.94,0.03,1.571%,4756933,France,2019,9150,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
IPX,IperionX Limited American Depositary Share,$18.79,1.58,9.181%,4729830,United States,,400197,Basic Materials,Other Metals and Minerals
IQ,iQIYI Inc. American Depositary Shares,$1.69,-0.06,-3.429%,524591348,China,2018,45021992,Consumer Discretionary,Consumer Electronics/Video Chains
IVA,Inventiva S.A. American Depository Shares,$3.31,-0.092,-2.704%,7019807,France,2020,8253,Health Care,Biotechnology: Pharmaceutical Preparations
JD,JD.com Inc. American Depositary Shares,$35.33,-2.11,-5.636%,478465993,China,2014,16172146,Consumer Discretionary,Other Specialty Stores
JFIN,Jiayin Group Inc. American Depositary Shares,$10.27,-0.67,-6.124%,14679999,China,2019,220292,Finance,Finance: Consumer Services
JFU,9F Inc. American Depositary Shares,$1.07,0.01,0.943%,3584421,China,2019,1063,Finance,Finance: Consumer Services
JG,Aurora Mobile Limited American Depositary Shares,$8.02,-0.41,-4.864%,3270354,China,2018,41642,Technology,Computer Software: Programming Data Processing
JOYY,JOYY Inc. American Depositary Shares,$40.26,-1.45,-3.476%,58740427,Singapore,2012,700923,Technology,EDP Services
JZ,Jianzhi Education Technology Group Company Limited American Depositary Shs,$0.86,-0.0599,-6.512%,6616667,China,2022,31583,Real Estate,Other Consumer Services
KC,Kingsoft Cloud Holdings Limited American Depositary Shares,$10.98,-2.22,-16.818%,38787879,China,2020,11010678,Technology,Computer Software: Prepackaged Software
KRKR,36Kr Holdings Inc. American Depositary Shares,$3.99,-0.12,-2.92%,1344602,China,2019,15604,Consumer Discretionary,Business Services
KSPI,Joint Stock Company Kaspi.kz American Depository Shares,$82.59,-3.66,-4.243%,196527231,Kazakhstan,2024,258120,,
KZIA,Kazia Therapeutics Limited American Depositary Shares,$0.7079,-0.0172,-2.372%,1359626,Australia,,72834,Health Care,Biotechnology: Pharmaceutical Preparations
LEGN,Legend Biotech Corporation American Depositary Shares,$33.46,-0.28,-0.83%,79685474,United States,2020,2608685,Health Care,Biotechnology: Pharmaceutical Preparations
LGHL,Lion Group Holding Ltd. American Depositary Share,$2.96,-0.04,-1.333%,20592,China,,246075,Finance,Investment Bankers/Brokers/Service
LI,Li Auto Inc. American Depositary Shares,$22.73,-0.71,-3.029%,205568173,China,2020,4646239,Consumer Discretionary,Auto Manufacturing
LOT,Lotus Technology Inc. American Depositary Shares,$1.28,-0.044,-3.323%,1195103,China,,150628,,
LRE,Lead Real Estate Co. Ltd American Depositary Shares,$1.31,0.0525,4.175%,1189955,Japan,2023,4019,Consumer Discretionary,Homebuilding
LX,LexinFintech Holdings Ltd. American Depositary Shares,$7.09,-0.21,-2.877%,143215470,China,2017,2415085,Finance,Finance: Consumer Services
LXEH,Lixiang Education Holding Co. Ltd. American Depositary Shares,$22.99,0.0626,0.273%,666670,China,2020,120461,Real Estate,Other Consumer Services
MESO,Mesoblast Limited American Depositary Shares,$10.31,-0.46,-4.271%,31957071,Australia,2015,77418,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
MLCO,Melco Resorts & Entertainment Limited American Depositary Shares,$4.74,-0.20,-4.049%,211405295,Hong Kong,2006,7523544,Consumer Discretionary,Hotels/Resorts
MOB,Mobilicom Limited American Depositary Shares,$1.53,0.08,5.517%,7190551,Israel,2022,80276,Industrials,Aerospace
MOLN,Molecular Partners AG American Depositary Shares,$3.57,-0.34,-8.696%,4809779,Switzerland,2021,1632,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
MOMO,Hello Group Inc. American Depositary Shares,$5.29,-0.21,-3.818%,173559360,China,2014,2434338,Technology,Computer Software: Prepackaged Software
MREO,Mereo BioPharma Group plc American Depositary Shares,$2.13,0.13,6.50%,146376824,United Kingdom,,1625024,Health Care,Biotechnology: Pharmaceutical Preparations
MRM,MEDIROM Healthcare Technologies Inc. American Depositary Share,$0.7406,-0.1099,-12.922%,5587860,Japan,2020,121932,Consumer Discretionary,Other Consumer Services
MTLS,Materialise NV American Depositary Shares,$4.63,0.055,1.202%,27402351,Belgium,2014,91179,Technology,Computer Software: Prepackaged Software
NAAS,NaaS Technology Inc. American Depositary Shares,$0.457,-0.0279,-5.754%,13026680,China,2017,236405,Consumer Discretionary,Other Specialty Stores
NAMI,Jinxin Technology Holding Company American Depositary Shares,$3.09,0.19,6.552%,1625000,China,2024,23346,Real Estate,Other Consumer Services
NBTX,Nanobiotix S.A. American Depositary Shares,$3.2827,-0.1273,-3.733%,5343598,France,2020,1426,Health Care,Biotechnology: Pharmaceutical Preparations
NCNA,NuCana plc American Depositary Share,$0.907,0.037,4.253%,5529927,United Kingdom,2017,59518,Health Care,Biotechnology: Pharmaceutical Preparations
NCTY,The9 Limited American Depository Shares,$10.26,0.25,2.498%,4370613,China,2004,102071,Finance,Finance: Consumer Services
NICE,NICE Ltd American Depositary Shares,$150.68,-4.26,-2.749%,49155511,Israel,,354685,Technology,Computer Software: Prepackaged Software
NIPG,NIP Group Inc. American Depositary Shares,$1.6524,-0.1136,-6.433%,2432526,Sweden,2024,52244,Consumer Discretionary,Services-Misc. Amusement & Recreation
NIU,Niu Technologies American Depositary Shares,$2.88,-0.21,-6.796%,50772639,China,2018,721699,Consumer Discretionary,Auto Manufacturing
NNDM,Nano Dimension Ltd. American Depositary Shares,$1.47,0.00,0.00%,273846890,Israel,,1168830,Technology,Electrical Products
NTES,NetEase Inc. American Depositary Shares,$97.41,-0.62,-0.632%,104722645,China,,1061509,Technology,Computer Software: Prepackaged Software
NVA,Nova Minerals Limited American Depositary Shares,$12.95,0.45,3.60%,678435,Australia,2024,12547,Basic Materials,Precious Metals
NVX,NOVONIX Limited American Depository Shares,$1.05,0.01,0.962%,6517335,Australia,,136608,Miscellaneous,Industrial Machinery/Components
NWGL,Nature Wood Group Limited American Depositary Shares,$1.36,-0.06,-4.225%,1902392,China,2023,15535,Energy,
OMAB,Grupo Aeroportuario del Centro Norte S.A.B. de C.V. ADS,$80.93,0.68,0.847%,5456383,Mexico,2006,71328,Consumer Discretionary,Aerospace
